Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim136	0.551898798618627	0.0136620375960961	0	0.172322898443982	0.216334926317752	0.0457813390235434	0	0	0	-0.0140366378842016	1.28618220272601
Sim137	0.351918232627251	0.159043813595692	0	0.0725237694000416	0.131731317405828	0.186700054921496	0	0.0980828120496915	0	0.251544267257572	1.08570553071595
Sim138	0	0.131027575896333	0	0.184804759457647	0.225271064318865	0.0460117653662625	0.412884834960892	0	0	0.205361663518669	1.13825839790085
Sim139	0.0963481301001735	0.154771418596129	0	0.108112951991525	0.0593144146837188	0	0.289556066203659	0.291897018424795	0	0.305348175050534	1.01851058513983
Sim140	0	0.265329081110841	0.0384502186400254	0.208351748260741	0.0354473415941459	0.236845527103062	0	0.215576083291185	0	0.0799883095433041	1.183525380469
Sim141	0	0.0956075790485043	0.152165455540073	0.0430894263264481	0	0	0.386251044714879	0.322886494370095	0	0.283014711601678	1.02649333310086
Sim142	0	0.179890515690041	0.0907693163585865	0.166517355494564	0.124057716159124	0	0.414910371048534	0.0238547252491503	0	0.138521742253244	1.17263386348341
Sim143	0.296591497570563	0.143474218281824	0	0.0204214335197497	0	0.176415002430839	0	0.363097848197024	0	0.198396217028096	1.08537110947345
Sim144	0.364940946503039	0	0.214029265460411	0.131418932406669	0.154153065118382	0	0.0532891968514769	0.0821685936600218	0	0.178700850027761	1.13653437938787
Sim145	0.182641868253349	0	0.14076235819555	0.386930618616241	0.117354977108419	0.0408104080886061	0	0.131499769737836	0	0.181204694995178	1.14560356342415
Sim146	0.0224284351804415	0	0	0.156305701471507	0.067326151995643	0.404477827707738	0	0.34946188364467	0	0.286105264305696	1.05825967762128
Sim147	0.381698529108605	0	0.19856268288589	0.225598261058874	0	0	0	0.19414052694663	0	0.211785694905027	1.10086142125256
Sim148	0.33389938497007	0	0	0.334122948054771	0.129343225009287	0.202634441965872	0	0	0	0.24761007703317	1.11849100433578
Sim149	0	0.499786666319452	0	0	0.0552353180844578	0.0815221050489064	0	0.363455910547184	0	0.125652147913279	1.14273362861672
Sim150	0	0.00537340827889267	0.199315386644701	0	0.266191929341198	0	0.529119275735208	0	0	0.192328192792607	1.14760037531614
Sim151	0.261724881845197	0.242423488692727	0	0.0979877545236029	0.238253291854093	0.15961058308438	0	0	0	0.161573990304737	1.16823900445712
Sim152	0.230178852125265	0.0874591870855253	0.0680370254529569	0.118098779908758	0.194837433728552	0.187834186540888	0.113554535158054	0	0	0.191533561353713	1.14523715561028
Sim153	0	0.021608318954663	0.132909148945776	0.116604659567202	0.20125319734978	0.145443399546965	0.157572133861183	0.224609141774431	0	0.164548376123306	1.13274625148162
Sim154	0.0423902894112501	0.165575394433304	0.129704909815448	0.130431043135436	0.0437435551122453	0.0982260980743618	0.19120124285784	0.198727467160116	0	0.245663233935412	1.06688387750095
Sim155	0	0.109562483004041	0.0265107874976055	0.189549463582171	0	0.0206535354047944	0.224377148651488	0.4293465818599	0	0.200431536364328	1.08349094627799
Sim156	0	0.406574889019053	0.105145846256118	0	0	0.1279691064586	0.0424124817442748	0.317897676521954	0	0.168462827358138	1.10795684917707
Sim157	0.249989844370365	0	0.0148331111127656	0.29080902373679	0.0925750251988096	0.289433066363745	0.0623599292175245	0	0	0.194372355041133	1.16182259371685
